park,site,sample_number,date,injection_number,analysis,area,tn_mgl
GM,RHB,3,2022-09-22 19:53,3,TN,21.38,0.727270347
GM,GMS,1,2022-09-22 20:20,1,TN,17.95,0.606445518
GM,GMS,1,2022-09-22 20:31,3,TN,18.21,0.615604251
GM,GMS,1,2022-09-22 20:40,5,TN,18.11,0.612081661
GM,GMS,2,2022-09-22 20:48,1,TN,20.6,0.699794147
GM,GMS,2,2022-09-22 20:53,2,TN,19.9,0.675136018
GM,GMS,2,2022-09-22 21:03,4,TN,20.49,0.695919298
GM,GMS,3,2022-09-22 21:11,1,TN,18.19,0.614899733
GM,GMS,3,2022-09-22 21:16,2,TN,18,0.608206813
GM,GMS,3,2022-09-22 21:21,3,TN,18.13,0.612786179
GM,GMS,blank,2022-09-22 21:33,2,TN,10.27,0.335910623
GM,GMS,blank,2022-09-22 21:37,3,TN,10.08,0.329217703
GM,GMS,blank,2022-09-22 21:45,5,TN,9.685,0.315303473
GM,TUK,1,2022-09-22 22:02,2,TN,12.56,0.416577929
GM,TUK,1,2022-09-22 22:07,3,TN,12.28,0.406714678
GM,TUK,1,2022-09-22 22:11,4,TN,12.62,0.418691483
GM,TUK,2,2022-09-22 22:25,2,TN,14.48,0.484211653
GM,TUK,2,2022-09-22 22:30,3,TN,14.2,0.474348401
GM,TUK,2,2022-09-22 22:35,4,TN,14.39,0.481041322
GM,TUK,3,2022-09-22 22:43,1,TN,12.68,0.420805037
GM,TUK,3,2022-09-22 22:58,4,TN,12.52,0.415168893
GM,TUK,3,2022-09-22 23:02,5,TN,12.44,0.412350821
GM,LOM,1,2022-09-22 23:10,1,TN,10.76,0.353171313
GM,LOM,1,2022-09-22 23:15,2,TN,10.99,0.36127327
GM,LOM,1,2022-09-22 23:20,3,TN,11.07,0.364091341
GM,LOM,2,2022-09-22 23:32,2,TN,11.87,0.39227206
GM,LOM,2,2022-09-22 23:37,3,TN,12.05,0.398612721
GM,LOM,2,2022-09-22 23:41,4,TN,11.86,0.391919801
GM,LOM,3,2022-09-22 23:49,1,TN,15.2,0.509574299
GM,LOM,3,2022-09-22 23:59,3,TN,14.84,0.496892976
GM,LOM,3,2022-09-23 0:07,5,TN,14.73,0.493018127
GM,LOM,blank,2022-09-23 0:34,1,TN,5.085,0.153264344
GM,LOM,blank,2022-09-23 0:38,2,TN,4.853,0.145091935
GM,LOM,blank,2022-09-23 0:42,3,TN,4.945,0.148332718
GM,MAC,1,2022-09-23 0:58,1,TN,13.12,0.436304432
GM,MAC,1,2022-09-23 1:03,2,TN,13.12,0.436304432
GM,MAC,1,2022-09-23 1:08,3,TN,13.1,0.435599914
GM,MAC,2,2022-09-23 1:17,1,TN,13.5,0.449690273
GM,MAC,2,2022-09-23 1:21,2,TN,13.88,0.463076114
GM,MAC,2,2022-09-23 1:26,3,TN,13.96,0.465894186
GM,MAC,3,2022-09-23 1:34,1,TN,15.06,0.504642673
GM,MAC,3,2022-09-23 1:40,2,TN,14.95,0.500767825
GM,MAC,3,2022-09-23 1:44,3,TN,14.64,0.489847796
GM,HOR,1,2022-09-23 1:53,1,TN,54.49,1.89359982
GM,HOR,1,2022-09-23 1:58,2,TN,53.79,1.868941692
