park,site,sample_number,date,injection_number,area,doc_mgl
GM,BRY,1,2022-09-23 17:49,3,256.1,10.60081312
GM,BRY,2,2022-09-23 17:57,1,192.9,7.891398225
GM,BRY,2,2022-09-23 18:01,2,193.1,7.899972323
GM,BRY,2,2022-09-23 18:06,3,192.6,7.878537078
GM,BRY,3,2022-09-23 18:19,1,249.7,10.32644199
GM,BRY,3,2022-09-23 18:23,2,246.8,10.20211757
GM,BRY,3,2022-09-23 18:28,3,248,10.25356216
GM,BRY,blank,2022-09-23 18:39,1,178.7,7.282637284
GM,BRY,blank,2022-09-23 18:43,2,174.9,7.119729426
GM,BRY,blank,2022-09-23 18:47,3,173.5,7.059710742
GM,GMS,blank,2022-09-22 21:29,1,183.1,7.471267435
GM,HOR,1,2022-09-23 1:53,1,579.5,24.46512919
GM,HOR,1,2022-09-23 1:58,2,564.9,23.83922006
GM,MAS,1,2022-09-23 2:57,1,463.9,19.50930069
GM,MAS,3,2022-09-23 11:30,1,289.4,12.02840039
GM,MAS,3,2022-09-23 11:36,2,277.3,11.50966748
