spatial_extent,model,model_number,predictor,estimate,log_likelihood,delta_aic,aic,adjusted_r2
catchment,total nitrogen,7,forest disturbance,0.53 (0.19),8.059812529,2.507785701,3.480374942,0.21779765
catchment,total nitrogen,7,road density,-0.31 (0.17),8.059812529,2.507785701,3.480374942,0.21779765
catchment,total nitrogen,7,human impact,0.37 (0.16),8.059812529,2.507785701,3.480374942,0.21779765
catchment,total nitrogen,7,wetted width,-0.16 (0.15),8.059812529,2.507785701,3.480374942,0.21779765
catchment,total nitrogen,7,% wetland,0.15 (0.19),8.059812529,2.507785701,3.480374942,0.21779765
catchment,total nitrogen,8,intercept,0.31 (0.18),2.948139526,9.131131708,10.10372095,-0.077912096
catchment,total nitrogen,8,wetted width,-0.15 (0.21),2.948139526,9.131131708,10.10372095,-0.077912096
catchment,total nitrogen,8,canopy,0.08 (0.18),2.948139526,9.131131708,10.10372095,-0.077912096
catchment,total nitrogen,8,% lake,-0.06 (0.17),2.948139526,9.131131708,10.10372095,-0.077912096
catchment,total nitrogen,8,% wetland,-0.09 (0.2),2.948139526,9.131131708,10.10372095,-0.077912096
catchment,electrical_conductivity,null,intercept,0.18 (0.04),2.519452563,2.740153512,-0.558905127,0
catchment,electrical_conductivity,1,intercept,0.22 (0.14),3.4492562,9.127818965,5.828760326,-0.052710735
catchment,electrical_conductivity,1,forest disturbance,0.06 (0.19),3.4492562,9.127818965,5.828760326,-0.052710735
catchment,electrical_conductivity,1,wetted width,-0.06 (0.17),3.4492562,9.127818965,5.828760326,-0.052710735
catchment,electrical_conductivity,1,% wetland,-0.17 (0.21),3.4492562,9.127818965,5.828760326,-0.052710735
catchment,electrical_conductivity,2,intercept,0.11 (0.1),6.881452378,2.263426611,-1.035632028,0.176167775
catchment,electrical_conductivity,2,road density,0.38 (0.15),6.881452378,2.263426611,-1.035632028,0.176167775
catchment,electrical_conductivity,2,wetted width,-0.02 (0.15),6.881452378,2.263426611,-1.035632028,0.176167775
catchment,electrical_conductivity,2,% wetland,-0.12 (0.17),6.881452378,2.263426611,-1.035632028,0.176167775
catchment,electrical_conductivity,3,intercept,0.16 (0.08),7.181181854,1.663967657,-1.635090982,0.193617939
catchment,electrical_conductivity,3,human impact,0.4 (0.15),7.181181854,1.663967657,-1.635090982,0.193617939
catchment,electrical_conductivity,3,wetted width,-0.05 (0.15),7.181181854,1.663967657,-1.635090982,0.193617939
catchment,electrical_conductivity,3,% wetland,-0.18 (0.16),7.181181854,1.663967657,-1.635090982,0.193617939
catchment,electrical_conductivity,4,intercept,0.06 (0.09),9.649529319,0,-3.299058639,0.294570574
catchment,electrical_conductivity,4,road density,0.3 (0.14),9.649529319,0,-3.299058639,0.294570574
catchment,electrical_conductivity,4,human impact,0.32 (0.14),9.649529319,0,-3.299058639,0.294570574
catchment,electrical_conductivity,4,wetted width,-0.02 (0.14),9.649529319,0,-3.299058639,0.294570574
catchment,electrical_conductivity,4,% wetland,-0.12 (0.15),9.649529319,0,-3.299058639,0.294570574
catchment,electrical_conductivity,5,intercept,0.15 (0.13),7.031459141,5.236140356,1.937081717,0.149510773
catchment,electrical_conductivity,5,forest disturbance,-0.09 (0.18),7.031459141,5.236140356,1.937081717,0.149510773
catchment,electrical_conductivity,5,road density,0.4 (0.16),7.031459141,5.236140356,1.937081717,0.149510773
catchment,electrical_conductivity,5,wetted width,-0.03 (0.15),7.031459141,5.236140356,1.937081717,0.149510773
catchment,electrical_conductivity,5,% wetland,-0.17 (0.19),7.031459141,5.236140356,1.937081717,0.149510773
catchment,electrical_conductivity,6,intercept,0.05 (0.14),7.732270003,3.834518632,0.535459993,0.191036478
catchment,electrical_conductivity,6,forest disturbance,0.16 (0.17),7.732270003,3.834518632,0.535459993,0.191036478
catchment,electrical_conductivity,6,human impact,0.43 (0.15),7.732270003,3.834518632,0.535459993,0.191036478
catchment,electrical_conductivity,6,wetted width,-0.04 (0.15),7.732270003,3.834518632,0.535459993,0.191036478
catchment,electrical_conductivity,6,% wetland,-0.09 (0.19),7.732270003,3.834518632,0.535459993,0.191036478
catchment,electrical_conductivity,7,intercept,0.05 (0.13),9.677152049,3.54475454,0.245695901,0.26395928
catchment,electrical_conductivity,7,forest disturbance,0.04 (0.18),9.677152049,3.54475454,0.245695901,0.26395928
catchment,electrical_conductivity,7,road density,0.28 (0.16),9.677152049,3.54475454,0.245695901,0.26395928
catchment,electrical_conductivity,7,human impact,0.33 (0.15),9.677152049,3.54475454,0.245695901,0.26395928
catchment,electrical_conductivity,7,wetted width,-0.02 (0.14),9.677152049,3.54475454,0.245695901,0.26395928
catchment,electrical_conductivity,7,% wetland,-0.1 (0.18),9.677152049,3.54475454,0.245695901,0.26395928
catchment,electrical_conductivity,8,intercept,0.25 (0.18),3.526170203,12.24671823,8.947659595,-0.092462418
catchment,electrical_conductivity,8,wetted width,-0.06 (0.21),3.526170203,12.24671823,8.947659595,-0.092462418
catchment,electrical_conductivity,8,canopy,0.02 (0.17),3.526170203,12.24671823,8.947659595,-0.092462418
catchment,electrical_conductivity,8,% wetland,-0.21 (0.2),3.526170203,12.24671823,8.947659595,-0.092462418
catchment,electrical_conductivity,8,% lake,-0.06 (0.16),3.526170203,12.24671823,8.947659595,-0.092462418
catchment,embeddedness,null,intercept,0.57 (0.05),-1.627642698,0,7.735285396,0
catchment,embeddedness,1,intercept,0.37 (0.15),0.990713041,3.01056125,10.74584665,0.066899507
catchment,embeddedness,1,forest disturbance,0.18 (0.18),0.990713041,3.01056125,10.74584665,0.066899507
catchment,embeddedness,1,substrate size,0.11 (0.23),0.990713041,3.01056125,10.74584665,0.066899507
catchment,embeddedness,1,% lake,0.33 (0.16),0.990713041,3.01056125,10.74584665,0.066899507
catchment,embeddedness,2,intercept,0.45 (0.15),0.491564936,4.008857459,11.74414285,0.033031093
catchment,embeddedness,2,road density,-0.05 (0.18),0.491564936,4.008857459,11.74414285,0.033031093
catchment,embeddedness,2,substrate size,0.12 (0.23),0.491564936,4.008857459,11.74414285,0.033031093
catchment,embeddedness,2,% lake,0.33 (0.17),0.491564936,4.008857459,11.74414285,0.033031093
catchment,embeddedness,3,intercept,0.45 (0.15),0.470074543,4.051838245,11.78712364,0.031545629
catchment,embeddedness,3,human impact,-0.04 (0.19),0.470074543,4.051838245,11.78712364,0.031545629
catchment,embeddedness,3,substrate size,0.13 (0.23),0.470074543,4.051838245,11.78712364,0.031545629
catchment,embeddedness,3,% lake,0.32 (0.17),0.470074543,4.051838245,11.78712364,0.031545629
catchment,embeddedness,4,intercept,0.46 (0.16),0.503942683,7.256829238,14.99211463,-0.008119336
catchment,embeddedness,4,road density,-0.05 (0.19),0.503942683,7.256829238,14.99211463,-0.008119336
catchment,embeddedness,4,human impact,-0.03 (0.2),0.503942683,7.256829238,14.99211463,-0.008119336
catchment,embeddedness,4,substrate size,0.12 (0.24),0.503942683,7.256829238,14.99211463,-0.008119336
catchment,embeddedness,4,% lake,0.32 (0.17),0.503942683,7.256829238,14.99211463,-0.008119336
catchment,embeddedness,5,intercept,0.39 (0.16),1.322669412,5.619375781,13.35466118,0.049145219
