"extent","model","model_num","k","delta_aicc","log_likelihood","adj_r2","% lake","% wetland","(intercept)","canopy","forest disturbance","human impact","road density","substrate size","wetted width"
"catchment","specific_conductivity","11",3,0.408288614904745,6.3315223117226,0.209073604754358,NA,NA,"0.09 ( 0.05 )",NA,NA,"0.41 ( 0.14 )",NA,NA,NA
"catchment","embeddedness","null",2,0,-1.62764269787152,0,NA,NA,"0.57 ( 0.05 )",NA,NA,NA,NA,NA,NA
"catchment","embeddedness","1",5,3.01056124964953,0.990713040940079,0.0668995068719811,"0.33 ( 0.16 )",NA,"0.37 ( 0.15 )",NA,"0.18 ( 0.18 )",NA,NA,"0.11 ( 0.23 )",NA
"catchment","embeddedness","2",5,4.00885745922064,0.491564936154521,0.0330310930696458,"0.33 ( 0.17 )",NA,"0.45 ( 0.15 )",NA,NA,NA,"-0.05 ( 0.18 )","0.12 ( 0.23 )",NA
"catchment","embeddedness","3",5,4.05183824531006,0.470074543109816,0.0315456288272479,"0.32 ( 0.17 )",NA,"0.45 ( 0.15 )",NA,NA,"-0.04 ( 0.19 )",NA,"0.13 ( 0.23 )",NA
"catchment","embeddedness","4",6,7.25682923818745,0.503942683034755,-0.0081193359076186,"0.32 ( 0.17 )",NA,"0.46 ( 0.16 )",NA,NA,"-0.03 ( 0.2 )","-0.05 ( 0.19 )","0.12 ( 0.24 )",NA
"catchment","embeddedness","5",6,5.61937578088286,1.32266941168705,0.0491452187292293,"0.35 ( 0.17 )",NA,"0.39 ( 0.16 )",NA,"0.23 ( 0.2 )",NA,"-0.14 ( 0.19 )","0.09 ( 0.23 )",NA
"catchment","embeddedness","6",6,6.27667472036797,0.994019941944496,0.0265598809514661,"0.33 ( 0.17 )",NA,"0.38 ( 0.17 )",NA,"0.17 ( 0.19 )","-0.01 ( 0.19 )",NA,"0.11 ( 0.23 )",NA
"catchment","embeddedness","7",7,9.14889556018046,1.35790952203825,0.00842363800106927,"0.36 ( 0.17 )",NA,"0.38 ( 0.17 )",NA,"0.25 ( 0.21 )","0.05 ( 0.21 )","-0.16 ( 0.22 )","0.09 ( 0.24 )",NA
"catchment","embeddedness","8",4,1.12399100915573,0.439927014941918,0.0682796004412345,"0.32 ( 0.16 )",NA,"0.44 ( 0.14 )",NA,NA,NA,NA,"0.13 ( 0.23 )",NA
"catchment","embeddedness","9",3,1.70354011081804,-1.21941275328054,-0.00861796893979005,NA,NA,"0.5 ( 0.09 )",NA,"0.16 ( 0.19 )",NA,NA,NA,NA
"catchment","embeddedness","10",3,2.51264487212005,-1.62396513393154,-0.0381887879503799,NA,NA,"0.57 ( 0.07 )",NA,NA,NA,"-0.02 ( 0.18 )",NA,NA
"catchment","embeddedness","11",3,2.32929387188596,-1.5322896338145,-0.0314126782542348,NA,NA,"0.59 ( 0.06 )",NA,NA,"-0.08 ( 0.19 )",NA,NA,NA
"riparian","invertebrate biomass","null",2,3.32892665580579,0.271630456952036,0,NA,NA,"0.25 ( 0.05 )",NA,NA,NA,NA,NA,NA
"riparian","invertebrate biomass","1",5,2.55165804862896,4.78390112417681,0.184963198872074,NA,NA,"0.46 ( 0.13 )",NA,"-0.11 ( 0.17 )",NA,NA,"0.05 ( 0.21 )","-0.48 ( 0.17 )"
"riparian","invertebrate biomass","2",5,2.70224342882119,4.7086084340807,0.180568082798372,NA,NA,"0.4 ( 0.13 )",NA,NA,NA,"0.07 ( 0.15 )","0.04 ( 0.21 )","-0.48 ( 0.17 )"
"riparian","invertebrate biomass","3",5,2.90574597477199,4.6068571611053,0.174590799195623,NA,NA,"0.44 ( 0.13 )",NA,NA,"-0.04 ( 0.15 )",NA,"0.04 ( 0.21 )","-0.49 ( 0.17 )"
"riparian","invertebrate biomass","4",6,5.79820703229218,4.79699026870884,0.15032158508508,NA,NA,"0.41 ( 0.14 )",NA,NA,"-0.06 ( 0.15 )","0.09 ( 0.15 )","0.05 ( 0.21 )","-0.48 ( 0.17 )"
"riparian","invertebrate biomass","5",6,4.75105317771958,5.32056719599514,0.181511300343307,NA,NA,"0.43 ( 0.14 )",NA,"-0.2 ( 0.2 )",NA,"0.16 ( 0.17 )","0.07 ( 0.21 )","-0.46 ( 0.17 )"
"riparian","invertebrate biomass","6",6,5.68138564889262,4.85540096040862,0.153859221812919,NA,NA,"0.48 ( 0.14 )",NA,"-0.11 ( 0.18 )","-0.05 ( 0.15 )",NA,"0.05 ( 0.21 )","-0.49 ( 0.17 )"
"riparian","invertebrate biomass","7",7,7.71682545239022,5.63768105865982,0.163471690263143,NA,NA,"0.45 ( 0.14 )",NA,"-0.25 ( 0.21 )","-0.11 ( 0.16 )","0.21 ( 0.18 )","0.09 ( 0.21 )","-0.47 ( 0.17 )"
"riparian","invertebrate biomass","8",4,0,4.56565900224623,0.205271938243651,NA,NA,"0.43 ( 0.12 )",NA,NA,NA,NA,"0.03 ( 0.2 )","-0.48 ( 0.16 )"
"riparian","invertebrate biomass","9",3,5.34703408521689,0.522576742246485,-0.0200132254289742,NA,NA,"0.3 ( 0.08 )",NA,"-0.13 ( 0.19 )",NA,NA,NA,NA
"riparian","invertebrate biomass","10",3,5.28603926569687,0.553074152006496,-0.0177936608915561,NA,NA,"0.22 ( 0.07 )",NA,NA,NA,"0.12 ( 0.16 )",NA,NA
"riparian","invertebrate biomass","11",3,5.84888900238282,0.271649283663519,-0.038460141975637,NA,NA,"0.25 ( 0.06 )",NA,NA,"0 ( 0.16 )",NA,NA,NA
"riparian","EPT index","null",2,2.36578209896293,-2.33111815569543,0,NA,NA,"0.43 ( 0.05 )",NA,NA,NA,NA,NA,NA
"riparian","EPT index","1",5,3.39161951370366,1.27959950057057,0.130750747788029,NA,NA,"0.1 ( 0.15 )",NA,"0.4 ( 0.2 )",NA,NA,"0.22 ( 0.23 )","0.16 ( 0.19 )"
"riparian","EPT index","2",5,6.05312851654615,-0.0511550008506731,0.0440708460311852,NA,NA,"0.14 ( 0.16 )",NA,NA,NA,"0.23 ( 0.17 )","0.28 ( 0.25 )","0.19 ( 0.2 )"
"riparian","EPT index","3",5,7.63654822964853,-0.842864857401864,-0.011545367813752,NA,NA,"0.25 ( 0.15 )",NA,NA,"-0.1 ( 0.18 )",NA,"0.27 ( 0.25 )","0.16 ( 0.21 )"
"riparian","EPT index","4",6,8.37571538112737,0.423915203222354,0.0357893069431926,NA,NA,"0.16 ( 0.16 )",NA,NA,"-0.16 ( 0.18 )","0.26 ( 0.18 )","0.3 ( 0.25 )","0.18 ( 0.2 )"
"riparian","EPT index","5",6,6.51073552062469,1.3564051334737,0.0979198191540224,NA,NA,"0.09 ( 0.16 )",NA,"0.36 ( 0.23 )",NA,"0.07 ( 0.2 )","0.23 ( 0.24 )","0.16 ( 0.19 )"
"riparian","EPT index","6",6,6.52927718434264,1.34713430161472,0.0973222617753633,NA,NA,"0.12 ( 0.16 )",NA,"0.4 ( 0.2 )","-0.06 ( 0.17 )",NA,"0.23 ( 0.24 )","0.15 ( 0.19 )"
"riparian","EPT index","7",7,9.82281165282078,1.50036706737565,0.0665642107242053,NA,NA,"0.11 ( 0.16 )",NA,"0.33 ( 0.25 )","-0.09 ( 0.19 )","0.1 ( 0.21 )","0.25 ( 0.25 )","0.16 ( 0.2 )"
"riparian","EPT index","8",4,5.01172221623281,-1.02452299693906,0.0162339698980688,NA,NA,"0.22 ( 0.15 )",NA,NA,NA,NA,"0.26 ( 0.25 )","0.17 ( 0.2 )"
"riparian","EPT index","9",3,0,0.11177289378604,0.127813402352302,NA,NA,"0.27 ( 0.09 )",NA,"0.43 ( 0.19 )",NA,NA,NA,NA
"riparian","EPT index","10",3,3.65313107112977,-1.71479264177884,0.00626322672209001,NA,NA,"0.38 ( 0.07 )",NA,NA,NA,"0.19 ( 0.18 )",NA,NA
"riparian","EPT index","11",3,4.5229471435361,-2.14970067798201,-0.0250915613196687,NA,NA,"0.46 ( 0.07 )",NA,NA,"-0.1 ( 0.18 )",NA,NA,NA
"riparian","periphyton biomass","null",2,1.7925109079465,5.93529137346446,0,NA,NA,"0.2 ( 0.04 )",NA,NA,NA,NA,NA,NA
"riparian","periphyton biomass","1",5,2.42183687672383,9.74426475271216,0.142973544900143,NA,NA,"-0.03 ( 0.12 )","0.19 ( 0.13 )","-0.1 ( 0.14 )",NA,NA,NA,"0.43 ( 0.16 )"
"riparian","periphyton biomass","2",5,2.76767474079954,9.5713458206743,0.132322467031933,NA,NA,"-0.04 ( 0.12 )","0.18 ( 0.13 )",NA,NA,"-0.05 ( 0.12 )",NA,"0.41 ( 0.16 )"
"riparian","periphyton biomass","3",5,2.8904584678794,9.50995395713437,0.1285092308898,NA,NA,"-0.04 ( 0.12 )","0.17 ( 0.13 )",NA,"-0.04 ( 0.12 )",NA,NA,"0.41 ( 0.16 )"
"riparian","periphyton biomass","4",6,5.99436472758731,9.59436446364405,0.0960847866305414,NA,NA,"-0.03 ( 0.13 )","0.17 ( 0.13 )",NA,"-0.03 ( 0.13 )","-0.05 ( 0.13 )",NA,"0.41 ( 0.17 )"
"riparian","periphyton biomass","5",6,5.68417262105243,9.74946051691149,0.106043357250879,NA,NA,"-0.02 ( 0.12 )","0.19 ( 0.13 )","-0.09 ( 0.17 )",NA,"-0.01 ( 0.15 )",NA,"0.43 ( 0.17 )"
